NEIGHBORHOOD,ADDRESS,Sale Price,SALE DATE
CHELSEA,"253 WEST 16TH STREET, 1F",4579002,1/2/20
CHELSEA,"253 WEST 16TH STREET, 2C",4579002,1/2/20
CHELSEA,"253 WEST 16TH STREET, 3G",4579002,1/2/20
CHELSEA,"253 WEST 16TH STREET, 6C",4579002,1/2/20
CHELSEA,"253 WEST 16TH STREET, 4F",4579002,1/2/20
CHELSEA,"253 WEST 16TH STREET, 2B",4579002,1/2/20
CHELSEA,"253 WEST 16TH STREET, 5E",4579002,1/2/20
CHELSEA,"253 WEST 16TH STREET, 4E",4579002,1/2/20
CHELSEA,"253 WEST 16TH STREET, 4A",4579002,1/2/20
CHELSEA,"253 WEST 16TH STREET, 3B",4579002,1/2/20
CHELSEA,"253 WEST 16TH STREET, 6A",4579002,1/2/20
CHELSEA,"253 WEST 16TH STREET, 3I",4579002,1/2/20
CHELSEA,"201 WEST 16TH STREET, 6D",490000,1/2/20
EAST VILLAGE,"415 EAST 6TH STREET, 3",10,1/2/20
GREENWICH VILLAGE-CENTRAL,"45 WEST 11TH STREET, 1C",1125000,1/2/20
GREENWICH VILLAGE-CENTRAL,"70 EAST 10TH STREET, 15T",1066300,1/2/20
GREENWICH VILLAGE-WEST,"125 WEST 12TH STREET, 6D",1200000,1/2/20
GREENWICH VILLAGE-WEST,"400 WEST 12TH STREET, 6D",10,1/2/20
HARLEM-WEST,524 WEST 134TH STREET,2318246,1/2/20
HARLEM-WEST,509 WEST 134TH STREET,1723650,1/2/20
HARLEM-WEST,523 WEST 138TH STREET,1723650,1/2/20
MIDTOWN WEST,"150 CENTRAL PARK SOUTH, 1207",360000,1/2/20
MURRAY HILL,"211 EAST 35TH STREET, 7F",585000,1/2/20
TRIBECA,"2 RIVER TERRACE, 22B",2550000,1/2/20
UPPER EAST SIDE (79-96),"301 EAST 79 STREET, 6 P",805000,1/2/20
UPPER WEST SIDE (59-79),"27 WEST 72ND STREET, 615",1700000,1/2/20
UPPER WEST SIDE (59-79),"200 WEST 79TH STREET, 18P",726500,1/2/20
CHELSEA,"263 9 AVENUE, 4B",2250000,1/3/20
CIVIC CENTER,"49-51 CHAMBERS STREET, 16E",5400000,1/3/20
CIVIC CENTER,"91 LEONARD STREET, 5A",2545625,1/3/20
CLINTON,"505 WEST 43RD STREET, 5K",1173141,1/3/20
CLINTON,"505 WEST 43RD STREET, 6L",1242265,1/3/20
FLATIRON,"1107 BROADWAY, 4C",2900000,1/3/20
GRAMERCY,"4 LEXINGTON AVENUE, 13P",365000,1/3/20
GREENWICH VILLAGE-CENTRAL,"93 MACDOUGAL STREET, 8",995000,1/3/20
GREENWICH VILLAGE-WEST,311 WEST 4TH STREET,12250000,1/3/20
HARLEM-CENTRAL,"137 WEST 142ND STREET, 4A",480000,1/3/20
HARLEM-CENTRAL,"2351 ADAM CLAYTON POWELL, 607",1255752,1/3/20
JAVITS CENTER,"553 WEST 30TH STREET, PH83C",9478399,1/3/20
KIPS BAY,"630 FIRST AVENUE, 5H",760000,1/3/20
LOWER EAST SIDE,"387 GRAND STREET, K905",975000,1/3/20
MANHATTAN VALLEY,"7 WEST 96TH STREET, 2F",590000,1/3/20
MANHATTAN VALLEY,"7 WEST 96TH STREET, 17D",1195000,1/3/20
MANHATTAN VALLEY,"392 CENTRAL PARK WEST, 4B",990000,1/3/20
MIDTOWN CBD,"153 EAST 57TH STREET, 15H",645000,1/3/20
MIDTOWN EAST,"349 EAST 49TH STREET, 5R",680000,1/3/20
MIDTOWN EAST,"400 EAST 56TH STREET, 35F",825000,1/3/20
MIDTOWN EAST,"225 EAST 46TH STREET, 12D",580000,1/3/20
MIDTOWN EAST,"345 EAST 56TH STREET, RESI",375000,1/3/20
MIDTOWN WEST,"159 WEST 53RD STREET, 15D",900000,1/3/20
MIDTOWN WEST,"350 WEST 50TH STREET, 35B",1315000,1/3/20
MIDTOWN WEST,"322 WEST 57TH STREET, 21J",980000,1/3/20
MURRAY HILL,"250 EAST 40TH STREET, 33A",770000,1/3/20
SOHO,"185 WEST HOUSTON STREET, 1B",438000,1/3/20
TRIBECA,"2 SOUTH END AVENUE, 8P",780000,1/3/20
UPPER EAST SIDE (59-79),8 EAST 75TH STREET,38000000,1/3/20
UPPER EAST SIDE (59-79),"200 EAST 61ST STREET, 11A",1089000,1/3/20
UPPER EAST SIDE (59-79),"1355 1 AVENUE, 25FL",6050000,1/3/20
UPPER EAST SIDE (79-96),"200 EAST 84TH STREET, 11GH",1937500,1/3/20
UPPER EAST SIDE (79-96),"300 EAST 93RD STREET, 32D",1230000,1/3/20
UPPER WEST SIDE (59-79),"18 WEST 70TH STREET, 7B",2851100,1/3/20
UPPER WEST SIDE (59-79),"2000 BROADWAY, 10G",1380000,1/3/20
UPPER WEST SIDE (59-79),"346 W 71ST STREET, 4A",1893945,1/3/20
UPPER WEST SIDE (59-79),"350 W 71ST STREET, PHD",3850000,1/3/20
UPPER WEST SIDE (59-79),"220 RIVERSIDE BOULEVARD, 85",14000,1/3/20
UPPER WEST SIDE (79-96),"309 WEST 86TH STREET, 11A",1500000,1/3/20
WASHINGTON HEIGHTS LOWER,"21 FT. WASHINGTON AVENUE, 2D",67963,1/3/20
WASHINGTON HEIGHTS LOWER,"775 RIVERSIDE DRIVE, 4A",435000,1/3/20
CHELSEA,"334 WEST 17TH STREET, PH45W",1515000,1/6/20
CHELSEA,"331 WEST 21ST STREET, 1FE",635000,1/6/20
CHINATOWN,"80 ELIZABETH STREET, 6B",965000,1/6/20
CIVIC CENTER,"108 LEONARD STREET, 4B",2800000,1/6/20
CIVIC CENTER,"108 LEONARD STREET, 9B",2979950,1/6/20
FINANCIAL,"99 JOHN STREET, 1206",925000,1/6/20
GREENWICH VILLAGE-CENTRAL,"211 THOMPSON STREET, GLK",665000,1/6/20
GREENWICH VILLAGE-WEST,"5 CHARLES STREET, 4F",695000,1/6/20
GREENWICH VILLAGE-WEST,"421 HUDSON STREET, 605",1450000,1/6/20
GREENWICH VILLAGE-WEST,"299 WEST 12TH STREET, 8J",1500000,1/6/20
HARLEM-CENTRAL,"258 SAINT NICHOLAS AVENUE, 5F",610000,1/6/20
INWOOD,"581 ACADEMY STREET, 5H",409575,1/6/20
JAVITS CENTER,"433 W 34TH ST, 7J",740000,1/6/20
KIPS BAY,"330 EAST 38TH STREET, 39D",1906000,1/6/20
MIDTOWN EAST,"232 EAST 47TH STREET, 16E",700000,1/6/20
MIDTOWN EAST,"252 EAST 57TH STREET, 41D",4150000,1/6/20
MIDTOWN WEST,"353 WEST 56TH STREET, 4L",500,1/6/20
