NEIGHBORHOOD,ADDRESS,Sale_Price,SALE_DATE
BEDFORD STUYVESANT,190 TOMPKINS AVENUE,1,1/1/20
BOROUGH PARK,"5100 15TH AVENUE, 5O",395000,1/1/20
BOROUGH PARK,"5100 15TH AVENUE, 4J",395000,1/1/20
BOROUGH PARK,"5100 15TH AVENUE, 3M",395000,1/1/20
BAY RIDGE,311 MARINE AVENUE,1420000,1/2/20
BEDFORD STUYVESANT,207 MALCOLM X BOULEVARD,320000,1/2/20
BOROUGH PARK,1731 48TH STREET,850000,1/2/20
BOROUGH PARK,"5214 15TH AVENUE, 1A",875000,1/2/20
BRIGHTON BEACH,"108 NEPTUNE AVENUE, 4J",605000,1/2/20
BROOKLYN HEIGHTS,"155 HENRY STREET, 4A",661000,1/2/20
BUSH TERMINAL,"5418 3 AVENUE, 1A",550000,1/2/20
BUSHWICK,1064 HALSEY STREET,1100000,1/2/20
BUSHWICK,"1178 GREENE AVE, 3",729000,1/2/20
CANARSIE,1531 EAST 96 STREET,550000,1/2/20
COBBLE HILL,181 DEGRAW STREET,3300000,1/2/20
FLATBUSH-CENTRAL,"5 STRATFORD ROAD, 17",612000,1/2/20
FLATLANDS,1368 EAST 53RD STREET,1200000,1/2/20
FLATLANDS,1414 EAST 51ST STREET,545000,1/2/20
FLATLANDS,1495-99 EAST 46 STREET,20000,1/2/20
FORT GREENE,123 DEKALB AVENUE,20000,1/2/20
GREENPOINT,"102 CLAY STREET, 4",1275000,1/2/20
KENSINGTON,N/A 36TH STREET,3046875,1/2/20
KENSINGTON,1317 36TH STREET,4996875,1/2/20
MANHATTAN BEACH,4174 OCEAN AVENUE,1211000,1/2/20
MARINE PARK,1647 EAST 37TH STREET,450000,1/2/20
MARINE PARK,1759 EAST 35TH STREET,720000,1/2/20
MIDWOOD,"1610 AVENUE P, 2O",418000,1/2/20
MIDWOOD,"1587 EAST 19TH STREET, 3I",481650,1/2/20
MIDWOOD,"1587 EAST 19TH STREET, 5I",546800,1/2/20
MIDWOOD,2640 NOSTRAND AVENUE,4000000,1/2/20
MIDWOOD,2644 NOSTRAND AVENUE,4000000,1/2/20
OCEAN HILL,663 DECATUR STREET,960000,1/2/20
OCEAN HILL,1269 HERKIMER STREET,1100000,1/2/20
SHEEPSHEAD BAY,"2829 HARING STREET, 6",600000,1/2/20
BATH BEACH,"30 BAY 29TH STREET, 1B",438000,1/3/20
BAY RIDGE,628 BAY RIDGE AVENUE,1500000,1/3/20
BEDFORD STUYVESANT,424A HART STREET,800000,1/3/20
BEDFORD STUYVESANT,118 MACDONOUGH STREET,2175000,1/3/20
BENSONHURST,7117 21 AVENUE,930000,1/3/20
BERGEN BEACH,2041 EAST 74TH STREET,612000,1/3/20
BRIGHTON BEACH,"3145 BRIGHTON 4TH STREET, 310",410000,1/3/20
BROOKLYN HEIGHTS,"130 HICKS STREET, 6D",417000,1/3/20
CANARSIE,9800 AVENUE L,645965,1/3/20
CANARSIE,739 EAST 89TH STREET,100,1/3/20
CLINTON HILL,"187 GATES AVENUE, 2",799000,1/3/20
CONEY ISLAND,"460 NEPTUNE AVENUE, 22D",465000,1/3/20
DOWNTOWN-FULTON FERRY,"1 MAIN STREET, 3C",1720000,1/3/20
DOWNTOWN-FULTON MALL,"96 SCHERMERHORN STREET, 7E",640000,1/3/20
DOWNTOWN-FULTON MALL,"10 NEVINS STREET, 9A",1190768,1/3/20
DYKER HEIGHTS,7014 10TH AVENUE,1410000,1/3/20
EAST NEW YORK,1323 BLAKE AVE,340000,1/3/20
FLATBUSH-EAST,5608 CHURCH AVENUE,500000,1/3/20
FLATBUSH-EAST,1157 EAST 40TH STREET,832000,1/3/20
FLATBUSH-NORTH,259 REMSEN AVENUE,370000,1/3/20
FLATBUSH-NORTH,25 EAST 58TH STREET,195000,1/3/20
FORT GREENE,"26 SOUTH OXFORD STREET, 2B",1325000,1/3/20
KENSINGTON,"190 EAST 7TH STREET, 2D",920498,1/3/20
MANHATTAN BEACH,195 JAFFRAY STREET,1200000,1/3/20
MIDWOOD,1908 AVENUE O,1105000,1/3/20
NAVY YARD,35 NORTH OXFORD STREET,980000,1/3/20
OCEAN HILL,"1325 HERKIMER STREET, 501",575000,1/3/20
OCEAN PARKWAY-NORTH,"399 OCEAN PARKWAY, 6K",451500,1/3/20
PARK SLOPE,"285 6 AVENUE, 8",6550000,1/3/20
PARK SLOPE,"299 5 AVENUE, 6",6500000,1/3/20
PARK SLOPE,"160 LINCOLN PLACE, 3C",555000,1/3/20
PARK SLOPE SOUTH,"401 10 STREET, 1",1825000,1/3/20
SHEEPSHEAD BAY,2431 EAST 27TH STREET,855000,1/3/20
WILLIAMSBURG-EAST,"39 POWERS STREET, 2B",1045000,1/3/20
WILLIAMSBURG-SOUTH,"26 BROADWAY, 403",879500,1/3/20
BEDFORD STUYVESANT,661 MADISON ST,2000,1/4/20
FLATBUSH-EAST,1561 BROOKLYN AVENUE,10,1/4/20
OLD MILL BASIN,1356 EAST 57TH STREET,50000,1/4/20
BAY RIDGE,8514 NARROWS AVENUE,2350000,1/6/20
BAY RIDGE,"6817 COLONIAL ROAD, 4D",380000,1/6/20
BAY RIDGE,"9951 SHORE ROAD, 1A",230000,1/6/20
BEDFORD STUYVESANT,296 STUYVESANT AVENUE,1710000,1/6/20
BENSONHURST,7112 15TH AVENUE,1510000,1/6/20
BOROUGH PARK,2148 58TH STREET,800000,1/6/20
BOROUGH PARK,2025 61ST STREET,1250000,1/6/20
BOROUGH PARK,1050 41ST STREET,2800000,1/6/20
BOROUGH PARK,1054 41ST STREET,2800000,1/6/20
BOROUGH PARK,"1640 60TH STREET, 1",1525000,1/6/20
BOROUGH PARK,4620 FORT HAMILTON PARKWAY,1800000,1/6/20
BOROUGH PARK,"839 58TH STREET, 4",700000,1/6/20
BUSHWICK,1276 HANCOCK STREET,1170000,1/6/20
CANARSIE,627 EAST 103 STREET,482589,1/6/20
CANARSIE,1162 EAST 99TH STREET,385423,1/6/20
CARROLL GARDENS,556 CLINTON STREET,875000,1/6/20
CLINTON HILL,"476 WASHINGTON AVE, B",1527375,1/6/20
COBBLE HILL,286 DEGRAW STREET,6150000,1/6/20
COBBLE HILL-WEST,"40 CARROLL STREET, 49-G",13913,1/6/20
CONEY ISLAND,2868 WEST 22ND STREET,630000,1/6/20
CONEY ISLAND,"460 NEPTUNE AVE, 13 O",330000,1/6/20
CROWN HEIGHTS,"1040 CARROLL STREET, 3K",125000,1/6/20
DOWNTOWN-FULTON FERRY,"57 FRONT STREET, 302",740000,1/6/20
DOWNTOWN-FULTON MALL,"10 NEVINS STREET, 7J",666954,1/6/20
EAST NEW YORK,699 ESSEX STREET,890000,1/6/20
EAST NEW YORK,796 WARWICK STREET,615000,1/6/20
EAST NEW YORK,503 NEW JERSEY AVENUE,305000,1/6/20
FLATBUSH-CENTRAL,219 LENOX ROAD,4999999,1/6/20
FLATBUSH-CENTRAL,2919 FARRAGUT ROAD,1350000,1/6/20
FLATBUSH-LEFFERTS GARDEN,"644 NEW YORK AVENUE, 1",100,1/6/20
FLATBUSH-NORTH,594 TROY AVENUE,185000,1/6/20
FLATLANDS,962 EAST 55TH STREET,898845,1/6/20
GOWANUS,255 3RD AVE,2740000,1/6/20
GRAVESEND,1638 WEST 1ST STREET,700000,1/6/20
GRAVESEND,1894 SHORE PARKWAY,53500000,1/6/20
GRAVESEND,N/A BAY 41ST STREET,53500000,1/6/20
GRAVESEND,N/A HUNTER AVENUE,4000000,1/6/20
GRAVESEND,1900 SHORE PARKWAY,53500000,1/6/20
GRAVESEND,N/A HUNTER AVENUE,4000000,1/6/20
GRAVESEND,"1379 WEST 6TH STREET, M-1",500000,1/6/20
GRAVESEND,"1379 WEST 6TH STREET, P4",60000,1/6/20
GRAVESEND,"1379 WEST 6TH STREET, P7",60000,1/6/20
GREENPOINT,273 GREEN STREET,2750000,1/6/20
GREENPOINT,259 GREEN STREET,2750000,1/6/20
KENSINGTON,240 EAST 2ND STREET,1600000,1/6/20
MARINE PARK,3505 AVENUE R,643999,1/6/20
MARINE PARK,1982 FLATBUSH AVENUE,825000,1/6/20
MARINE PARK,"2251 KNAPP STREET, 3C",156500,1/6/20
MIDWOOD,2617 AVENUE K,1350000,1/6/20
OCEAN HILL,1360 HERKIMER STREET,850000,1/6/20
OCEAN PARKWAY-NORTH,1564 EAST 8TH STREET,1710000,1/6/20
OCEAN PARKWAY-NORTH,1852 EAST 3RD STREET,1550000,1/6/20
OCEAN PARKWAY-NORTH,1856 EAST 3RD STREET,1850000,1/6/20
OCEAN PARKWAY-SOUTH,2386 EAST 2ND STREET,925000,1/6/20
PARK SLOPE,"654 CARROLL STREET, 1L",1280000,1/6/20
PARK SLOPE,"444 12TH STREET, 1C/2C",1425000,1/6/20
PARK SLOPE SOUTH,"370 9TH STREET, 2A",450000,1/6/20
PARK SLOPE SOUTH,"376 15 ST, 3D",1235000,1/6/20
PROSPECT HEIGHTS,"675 VANDERBILT AVENUE, 1C",510000,1/6/20
PROSPECT HEIGHTS,"50 PLAZA ST EAST, 1C",1325000,1/6/20
PROSPECT HEIGHTS,"1 GRAND ARMY PLAZA, PH16W",5000000,1/6/20
SEAGATE,3706 BAY VIEW AVENUE,623000,1/6/20
SHEEPSHEAD BAY,2227 EAST 27TH STREET,738000,1/6/20
SHEEPSHEAD BAY,2247 EAST 28TH STREET,500000,1/6/20
SHEEPSHEAD BAY,"2649 EAST 23RD STREET, 3B",405000,1/6/20
SHEEPSHEAD BAY,"2567 EAST 14TH STREET, 2R",542727,1/6/20
SUNSET PARK,623 45 STREET,10,1/6/20
SUNSET PARK,565 40TH STREET,1200000,1/6/20
SUNSET PARK,"702 45TH STREET, 3H",465000,1/6/20
SUNSET PARK,"420 42ND STREET, 2D",560000,1/6/20
SUNSET PARK,"420 42ND STREET, P3",560000,1/6/20
WILLIAMSBURG-CENTRAL,"577 FLUSHING, 4L",1242265,1/6/20
WILLIAMSBURG-SOUTH,"440 KENT AVENUE, 9D",1237000,1/6/20
WINDSOR TERRACE,"75 PROSPECT PARK SOUTHWEST, F4",785000,1/6/20
WYCKOFF HEIGHTS,1638 DEKALB AVENUE,990000,1/6/20
BATH BEACH,145 BAY 11TH STREET,2060000,1/7/20
BAY RIDGE,"8020 4TH AVE, E2",355500,1/7/20
BEDFORD STUYVESANT,430 LEXINGTON AVENUE,1018778,1/7/20
BOROUGH PARK,240 DAHILL ROAD,885000,1/7/20
BRIGHTON BEACH,"102 WEST END AVENUE, 5A",1200000,1/7/20
BRIGHTON BEACH,"102 WEST END AVENUE, PS60",1200000,1/7/20
BROOKLYN HEIGHTS,109 MONTAGUE STREET,5300000,1/7/20
BROOKLYN HEIGHTS,"161 HENRY STREET, 3B",1407000,1/7/20
BROOKLYN HEIGHTS,"161 HENRY STREET, 3A",1075000,1/7/20
BUSH TERMINAL,4310 THIRD AVENUE,650000,1/7/20
BUSHWICK,459 CENTRAL AVENUE,1050000,1/7/20
BUSHWICK,652 CHAUNCEY STREET,739500,1/7/20
BUSHWICK,25 JEFFERSON STREET,1350000,1/7/20
CANARSIE,8904 AVENUE A,795000,1/7/20
CANARSIE,25 PAERDEGAT 13TH ST,609000,1/7/20
CANARSIE,100 19 AVENUE N,288713,1/7/20
CANARSIE,124 CONKLIN AVENUE,25000,1/7/20
CARROLL GARDENS,"291 UNION STREET, 4E",1850000,1/7/20
CLINTON HILL,83 CLIFTON PLACE,22900000,1/7/20
CROWN HEIGHTS,319 TROY AVENUE,448390,1/7/20
DOWNTOWN-METROTECH,"225 ADAMS STREET, 3G",525000,1/7/20
DYKER HEIGHTS,1036 67TH STREET,1400000,1/7/20
DYKER HEIGHTS,1362 78TH STREET,1290000,1/7/20
EAST NEW YORK,204 PENNSYLVANIA AVENUE,350000,1/7/20
FLATBUSH-CENTRAL,2917 SNYDER AVENUE,3760413,1/7/20
FLATBUSH-CENTRAL,700 EAST 18TH STREET,1360000,1/7/20
FLATBUSH-CENTRAL,2913 SNYDER AVENUE,3760413,1/7/20
FLATBUSH-CENTRAL,1816 NOSTRAND AVENUE,1225000,1/7/20
FLATBUSH-CENTRAL,2919 SNYDER AVENUE,3760413,1/7/20
FLATBUSH-EAST,319 EAST 55TH STREET,390000,1/7/20
FLATBUSH-EAST,630 EAST 31 ST,999999,1/7/20
FLATBUSH-NORTH,617 LENOX RD,520000,1/7/20
FLATBUSH-NORTH,"884 RUTLAND ROAD, 5",1250,1/7/20
FLATLANDS,1328 EAST 48TH STREET,643750,1/7/20
GOWANUS,193 13TH STREET,1785000,1/7/20
GRAVESEND,1673 WEST 1ST STREET,1350000,1/7/20
GRAVESEND,267 VAN SICKLEN STREET,790000,1/7/20
GRAVESEND,1739 WEST 12TH STREET,1535000,1/7/20
GRAVESEND,"8629 BAY PARKWAY, 2B",442500,1/7/20
MADISON,1982 EAST 29TH STREET,800000,1/7/20
PARK SLOPE,"437 2ND STREET, 3",1525000,1/7/20
PARK SLOPE,"31 8TH AVENUE, 5",1200000,1/7/20
PARK SLOPE,"88 PROSPECT PARK WEST, 2C",750000,1/7/20
PARK SLOPE,365 5 AVENUE,3350000,1/7/20
PROSPECT HEIGHTS,"230 PARK PLACE, 4A",1260000,1/7/20
SHEEPSHEAD BAY,"2717 EAST 28TH STREET, 2F",240000,1/7/20
SUNSET PARK,749 53RD STREET,2600000,1/7/20
SUNSET PARK,"351 21ST STREET, 2R",535000,1/7/20
WILLIAMSBURG-EAST,"710 GRAND STREET, 2F",595676,1/7/20
WILLIAMSBURG-EAST,"710 GRAND STREET, 5F",592622,1/7/20
WILLIAMSBURG-NORTH,"135 NORTH 11TH STREET, 5F",855000,1/7/20
WILLIAMSBURG-NORTH,"214 NORTH 11 STREET, 1W",639000,1/7/20
WILLIAMSBURG-NORTH,"214 NORTH 11 STREET, P3-20",639000,1/7/20
WILLIAMSBURG-SOUTH,"60 BROADWAY, 3G",660000,1/7/20
WILLIAMSBURG-SOUTH,"440 KENT AVENUE, 10F",855000,1/7/20
WYCKOFF HEIGHTS,219 IRVING AVENUE,2180000,1/7/20
BAY RIDGE,"20 89TH STREET, 2E",412500,1/8/20
BEDFORD STUYVESANT,462 WILLOUGHBY AVE,1440000,1/8/20
BENSONHURST,2486 85TH STREET,1495000,1/8/20
BENSONHURST,1538 83RD STREET,865000,1/8/20
BOROUGH PARK,1736 64 STREET,1470000,1/8/20
BRIGHTON BEACH,"313 BRIGHTWATER COURT, 6F",300000,1/8/20
BROOKLYN HEIGHTS,"62 [PIERREPONT STREET, 2B",1080000,1/8/20
BROWNSVILLE,154 BRISTOL ST,760000,1/8/20
BUSH TERMINAL,5402 2 AVENUE,15250000,1/8/20
BUSH TERMINAL,N/A 2 AVENUE,15250000,1/8/20
BUSH TERMINAL,N/A 2 AVENUE,15250000,1/8/20
BUSH TERMINAL,N/A 2 AVENUE,15250000,1/8/20
BUSH TERMINAL,132 54TH STREET,15250000,1/8/20
CANARSIE,929 EAST 94TH STREET,650000,1/8/20
CANARSIE,951 EAST 83RD STREET,795000,1/8/20
FLATBUSH-CENTRAL,"1825 FOSTER AVENUE, 2B",640000,1/8/20
FLATBUSH-CENTRAL,"1138 OCEAN AVENUE, C2",500000,1/8/20
FLATBUSH-EAST,569 EAST 31ST STREET,442063,1/8/20
FLATBUSH-EAST,794 E 35TH STREET,639000,1/8/20
FLATBUSH-LEFFERTS GARDEN,280 HAWTHORNE STREET,1436340,1/8/20
FLATLANDS,4308 AVENUE M,639000,1/8/20
FLATLANDS,"1270 EAST 51ST STREET, 5M",114000,1/8/20
GRAVESEND,139 28TH AVENUE,475000,1/8/20
GRAVESEND,1940 WEST 9TH STREET,950000,1/8/20
GRAVESEND,1726 WEST 3RD STREET,1650000,1/8/20
MADISON,2209 CONEY ISLAND AVENUE,1900000,1/8/20
MADISON,2062 EAST 28TH STREET,900000,1/8/20
MADISON,1805-1813 AVENUE U,7380000,1/8/20
MADISON,2073-2075 EAST 18TH STREET,7380000,1/8/20
MARINE PARK,1567 MARINE PARKWAY,715000,1/8/20
MILL BASIN,255 ARKANSAS DRIVE,1315000,1/8/20
OCEAN HILL,624 DECATUR STREET,1875000,1/8/20
OCEAN PARKWAY-SOUTH,"1811 OCEAN PARKWAY, 6H",460000,1/8/20
OCEAN PARKWAY-SOUTH,"2035 EAST 7TH STREET, 5C",222000,1/8/20
PARK SLOPE,427A 8TH STREET,2305000,1/8/20
PARK SLOPE,701 SACKETT STREET,3100000,1/8/20
PARK SLOPE,"790 PRESIDENT STREET, 1L",895000,1/8/20
PARK SLOPE SOUTH,360 16TH ST,2050000,1/8/20
SHEEPSHEAD BAY,"2800 COYLE STREET, 211",230000,1/8/20
SHEEPSHEAD BAY,"2567 EAST 14TH STREET, 3F",496860,1/8/20
SHEEPSHEAD BAY,"2820 AVENUE Z, 3A",404586,1/8/20
SUNSET PARK,5 ROOSEVELT COURT,975000,1/8/20
SUNSET PARK,"4907 4TH AVENUE, 3C",451230,1/8/20
WILLIAMSBURG-CENTRAL,"577 FLUSHING AVENUE, 5R",990000,1/8/20
BATH BEACH,209 BAY 17TH STREET,1630000,1/9/20
BAY RIDGE,"40 89TH STREET, A",125444,1/9/20
BEDFORD STUYVESANT,482 HALSEY STREET,1200000,1/9/20
BEDFORD STUYVESANT,197 QUINCY STREET,1999000,1/9/20
BEDFORD STUYVESANT,744 HALSEY STREET,810000,1/9/20
BEDFORD STUYVESANT,407 TOMPKINS AVENUE,1245000,1/9/20
BEDFORD STUYVESANT,N/A HANCOCK STREET,1245000,1/9/20
BENSONHURST,7424 NEW UTRECHT AVE,990000,1/9/20
BERGEN BEACH,2238 EAST 74TH STREET,10,1/9/20
BOERUM HILL,"304 WARREN STREET, 3",2650000,1/9/20
BOROUGH PARK,"949 60TH STREET, 6A",504823,1/9/20
BOROUGH PARK,"949 60TH STREET, 6B",504823,1/9/20
BOROUGH PARK,"949 60TH STREET, 7A",496860,1/9/20
BOROUGH PARK,"949 60TH STREET, 7C",319410,1/9/20
BOROUGH PARK,"949 60TH STREET, PS7",496860,1/9/20
BOROUGH PARK,"949 60TH STREET, PS8",319410,1/9/20
BOROUGH PARK,"949 60TH STREET, PS9",504823,1/9/20
BOROUGH PARK,"949 60TH STREET, PS10",504823,1/9/20
BOROUGH PARK,"949 60TH STREET, PS11",504823,1/9/20
BRIGHTON BEACH,621 BRIGHTON BEACH AVE,2550000,1/9/20
BROOKLYN HEIGHTS,"25 GARDEN PLACE, 3",2125000,1/9/20
BROOKLYN HEIGHTS,"119 STATE STREET, 1",1600000,1/9/20
BUSHWICK,82 PALMETTO STREET,1135000,1/9/20
BUSHWICK,1189 BROADWAY,999999,1/9/20
BUSHWICK,"45 TROUTMAN, 1B",699000,1/9/20
CANARSIE,632 EAST 95TH STREET,535000,1/9/20
CARROLL GARDENS,"541 HENRY STREET, A",1935000,1/9/20
CARROLL GARDENS,"26 3 STREET, 2R",890000,1/9/20
CLINTON HILL,"361 CLINTON AVENUE, 10B",680000,1/9/20
CONEY ISLAND,"2940 WEST 5TH STREET, 12C",442000,1/9/20
CROWN HEIGHTS,1011 LINCOLN PLACE,490000,1/9/20
CROWN HEIGHTS,1592 PACIFIC STREET,1820000,1/9/20
CROWN HEIGHTS,1579 BERGEN STREET,975000,1/9/20
CROWN HEIGHTS,1591 STERLING PLACE,1000000,1/9/20
CYPRESS HILLS,36 VAN SICLEN AVENUE,980000,1/9/20
DOWNTOWN-FULTON MALL,"10 NEVINS STREET, 7B",614005,1/9/20
DYKER HEIGHTS,1033 81ST STREET,980000,1/9/20
EAST NEW YORK,478 BRADFORD STREET,337500,1/9/20
EAST NEW YORK,424 BARBEY STREET,500000,1/9/20
EAST NEW YORK,64 DOSCHER ST,342000,1/9/20
EAST NEW YORK,780 LOGAN STREET,710000,1/9/20
FLATBUSH-CENTRAL,1366 FLATBUSH AVENUE,740000,1/9/20
FLATBUSH-CENTRAL,"61 MARTENSE STREET, 5C",570000,1/9/20
FLATBUSH-CENTRAL,"631 EAST 18TH ST., 2A",539673,1/9/20
FLATBUSH-CENTRAL,"631 EAST 18TH ST., 5F",380530,1/9/20
FLATBUSH-CENTRAL,822 FLATBUSH AVENUE,6600000,1/9/20
FLATBUSH-EAST,825 EAST 45TH ST,635000,1/9/20
FLATBUSH-EAST,"282 EAST 35TH STREET, 5H",152000,1/9/20
FLATBUSH-EAST,"3311 NEWKIRK AVENUE, 2A",507000,1/9/20
FLATBUSH-EAST,1140 UTICA AVENUE,1700000,1/9/20
FLATBUSH-EAST,1144 UTICA AVENUE,2851000,1/9/20
FLATBUSH-LEFFERTS GARDEN,176 MIDWOOD STREET,2100000,1/9/20
FLATBUSH-NORTH,9222 KINGS HIGHWAY,595000,1/9/20
FLATLANDS,2121 TROY AVENUE,250000,1/9/20
FORT GREENE,226 DEKALB AVENUE,2007000,1/9/20
GERRITSEN BEACH,50 CELESTE COURT,592250,1/9/20
GOWANUS,100 15TH STREET,1375000,1/9/20
GOWANUS,"107 THIRD STREET, 1075",999000,1/9/20
GRAVESEND,"2260 BENSON AVENUE, 6D",370000,1/9/20
GRAVESEND,"2475 WEST 16TH STREET, 8K",215000,1/9/20
GREENPOINT,186 HURON STREET,4000000,1/9/20
MADISON,"1753 EAST 12TH STREET, 4A",275000,1/9/20
MARINE PARK,1607 EAST 34TH STREET,563000,1/9/20
MIDWOOD,"1577 EAST 17TH STREET, 4D",271890,1/9/20
OCEAN PARKWAY-NORTH,813 AVENUE C,1125000,1/9/20
OCEAN PARKWAY-SOUTH,"2580 OCEAN PARKWAY, 1B",285000,1/9/20
OCEAN PARKWAY-SOUTH,"2650 OCEAN PARKWAY, 7S",182500,1/9/20
PARK SLOPE,423 12TH STREET,2925000,1/9/20
PARK SLOPE,305 7TH STREET,3500000,1/9/20
PARK SLOPE,"488 THIRD STREET, 3B",555500,1/9/20
PARK SLOPE,"300 8 AVENUE, 5K",232750,1/9/20
PARK SLOPE,"51 LINCOLN PLACE, 3",2031409,1/9/20
PROSPECT HEIGHTS,"10 PLAZA STREET EAST, 4D",775000,1/9/20
RED HOOK,44 VAN DYKE STREET,700000,1/9/20
SEAGATE,4106 MANHATTAN AVENUE,950000,1/9/20
SHEEPSHEAD BAY,"1075 SHEEPSHEAD BAY ROAD, 4T",384347,1/9/20
SHEEPSHEAD BAY,"1809 EMMONS AVENUE, PS59",65000,1/9/20
SUNSET PARK,261A 19TH ST,2600000,1/9/20
SUNSET PARK,557 46TH STREET,3500000,1/9/20
SUNSET PARK,553 46TH STREET,3500000,1/9/20
SUNSET PARK,545 46TH STREET,3500000,1/9/20
WILLIAMSBURG-EAST,"406 LORIMER STREET, G",950000,1/9/20
WILLIAMSBURG-EAST,32 MEADOW STREET,5740000,1/9/20
WILLIAMSBURG-EAST,"406 LORIMER STREET, S3",950000,1/9/20
WILLIAMSBURG-SOUTH,"60 BROADWAY, 3E",1201000,1/9/20
WINDSOR TERRACE,"243 MCDONALD AVENUE, 3E",590000,1/9/20
BAY RIDGE,574 76TH STREET,1300000,1/10/20
BEDFORD STUYVESANT,683 MADISON STREET,1320000,1/10/20
BEDFORD STUYVESANT,"844 QUINCY STREET, 3A",550000,1/10/20
BEDFORD STUYVESANT,"491 MONROE STREET, 3A",780000,1/10/20
BENSONHURST,1449 70TH STREET,998000,1/10/20
BOROUGH PARK,1959 51ST STREET,810000,1/10/20
BRIGHTON BEACH,"1151 BRIGHTON BEACH AVENUE, 4-O",275000,1/10/20
BRIGHTON BEACH,"102 WEST END AVENUE, C3",1280000,1/10/20
BRIGHTON BEACH,"102 WEST END AVENUE, PS53",10000,1/10/20
BRIGHTON BEACH,"102 WEST END AVENUE, PS54",1280000,1/10/20
BROOKLYN HEIGHTS,296 HICKS STREET,10,1/10/20
BROOKLYN HEIGHTS,"2 GRACE COURT, 1S",625000,1/10/20
BUSHWICK,1107 BUSHWICK AVENUE,700000,1/10/20
BUSHWICK,500 CENTRAL AVENUE,1165000,1/10/20
BUSHWICK,"1178 GREENE AVE, 4F",495000,1/10/20
BUSHWICK,169 CENTRAL AVENUE,5400000,1/10/20
BUSHWICK,175 CENTRAL AVENUE,5400000,1/10/20
BUSHWICK,N/A HART STREET,5400000,1/10/20
COBBLE HILL,"363 HENRY STREET, 1",1640000,1/10/20
CROWN HEIGHTS,894 EASTERN PARKWAY,1325000,1/10/20
CROWN HEIGHTS,"840 ST. MARKS AVENUE, 3H",499000,1/10/20
DOWNTOWN-FULTON FERRY,"100 JAY STREET, 28A",2450000,1/10/20
DOWNTOWN-FULTON MALL,"10 NEVINS STREET, 8A",1191353,1/10/20
DOWNTOWN-FULTON MALL,"10 NEVINS STREET, 20C",1054536,1/10/20
DOWNTOWN-FULTON MALL,"110 LIVINGSTON STREET, 7B",1550000,1/10/20
DYKER HEIGHTS,7712 11TH AVENUE,830000,1/10/20
DYKER HEIGHTS,6717 10TH AVENUE,1700000,1/10/20
DYKER HEIGHTS,1283 86TH STREET,1667500,1/10/20
FLATBUSH-CENTRAL,"631 EAST 18TH ST., 2B",463398,1/10/20
FLATBUSH-CENTRAL,"631 EAST 18TH ST, 5B",499000,1/10/20
FLATBUSH-EAST,1138 EAST 35TH ST,855000,1/10/20
FLATBUSH-EAST,4910 TILDEN AVENUE,81120,1/10/20
FORT GREENE,187 ADELPHI STREET,2400000,1/10/20
GERRITSEN BEACH,94 CELESTE COURT,415000,1/10/20
GOWANUS,"26 4 STREET, 3B",1475000,1/10/20
GRAVESEND,1461 WEST 8TH STREET,1200000,1/10/20
GRAVESEND,130 BAY 40TH STREET,948000,1/10/20
GRAVESEND,"354 VAN SICKLEN STREET, 1B",541000,1/10/20
GREENPOINT,"30 BAYARD STREET, 2F",945000,1/10/20
GREENPOINT,"30 BAYARD STREET, P12",945000,1/10/20
MADISON,1824 HARING STREET,730000,1/10/20
MARINE PARK,2061 EAST 38TH STREET,665000,1/10/20
OCEAN HILL,20 MARCONI PLACE,890000,1/10/20
SHEEPSHEAD BAY,2278 EAST 28TH STREET,888000,1/10/20
SHEEPSHEAD BAY,"2833 BATCHELDER STREET, 2",850000,1/10/20
SHEEPSHEAD BAY,"2833 BATCHELDER STREET, P3",850000,1/10/20
WILLIAMSBURG-NORTH,"1 NORTH PIER, PH-15",1842750,1/10/20
BAY RIDGE,71 71ST STREET,1230000,1/13/20
BAY RIDGE,239 68TH STREET,1271000,1/13/20
BAY RIDGE,"880 68TH STREET, L5",480000,1/13/20
BAY RIDGE,"402 BAY RIDGE PARKWAY, 51",289000,1/13/20
BEDFORD STUYVESANT,131 TAAFFE PL,1750000,1/13/20
BEDFORD STUYVESANT,261 KOSCIUSZKO STREET,2130000,1/13/20
BEDFORD STUYVESANT,"341 NOSTRAND AVENUE, 301D",515000,1/13/20
BEDFORD STUYVESANT,"838 QUINCY STREET, 2R",508107,1/13/20
BEDFORD STUYVESANT,928 DEKALB AVENUE,1100000,1/13/20
BERGEN BEACH,"1962 BERGEN AVENUE, 3D",500000,1/13/20
BOROUGH PARK,2026 58TH STREET,975000,1/13/20
BOROUGH PARK,4107 NEW UTRECHT AVENUE,1050000,1/13/20
BOROUGH PARK,853 53RD STREET,1510000,1/13/20
BOROUGH PARK,"1225 49TH STREET, 4C",400000,1/13/20
BRIGHTON BEACH,72 BRIGHTON 1 LANE,539000,1/13/20
BRIGHTON BEACH,2958 BRIGHTON 5 STREET,740000,1/13/20
BUSHWICK,1217 DECATUR STREET,780000,1/13/20
BUSHWICK,"1178 GREENE AVE, 4R",477600,1/13/20
CANARSIE,9016 AVENUE B,775000,1/13/20
CARROLL GARDENS,"31 1ST PLACE, 2",1325000,1/13/20
CLINTON HILL,411 VANDERBILT AVENUE,3300000,1/13/20
CLINTON HILL,"185 HALL STREET, 1515",924000,1/13/20
